MutantID,Operator,Extra,POS_NEG,Class,Line,Original,Mutated
34,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,66,3033,0.0F
35,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,66,3033,-1.0F
36,ORU,-(float),+(float),org.apache.commons.lang3.math.NumberUtils,68,3152,+1.0F
37,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils,68,3153,0.0F
38,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils,68,3153,-1.0F
39,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toInt(java.lang.String),100,4233,1
40,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toInt(java.lang.String),100,4233,-1
41,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toInt(java.lang.String,int)",121,4925,false
42,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toLong(java.lang.String),149,5773,1L
43,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toLong(java.lang.String),149,5773,-1L
44,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toLong(java.lang.String,long)",170,6480,false
45,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toFloat(java.lang.String),199,7385,1.0F
46,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toFloat(java.lang.String),199,7385,-1.0F
47,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toFloat(java.lang.String,float)",222,8162,false
48,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toDouble(java.lang.String),251,9068,1.0
49,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toDouble(java.lang.String),251,9068,-1.0
50,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toDouble(java.lang.String,double)",274,9853,false
51,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toByte(java.lang.String),303,10776,1
52,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toByte(java.lang.String),303,10776,-1
53,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toByte(java.lang.String,byte)",324,11475,false
54,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@toShort(java.lang.String),352,12337,1
55,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@toShort(java.lang.String),352,12337,-1
56,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)","org.apache.commons.lang3.math.NumberUtils@toShort(java.lang.String,short)",373,13045,false
57,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),451,16191,false
58,COR,<METHOD_INVOCATION(boolean)>,FALSE,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),454,16268,false
59,COR,<METHOD_INVOCATION(boolean)>,TRUE,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),454,16268,true
60,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),459,16530,1
61,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),459,16530,-1
62,COR,<METHOD_INVOCATION(boolean)>,FALSE,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),461,16610,false
63,COR,<METHOD_INVOCATION(boolean)>,TRUE,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),461,16610,true
64,STD,<ASSIGN>,<NO-OP>,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),462,16635,<NO-OP>
65,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16727,1
66,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16727,-1
67,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16718,pfxLen != 0
68,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16718,pfxLen >= 0
69,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),466,16725,false
70,AOR,"-(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),467,16790,str.length() % pfxLen
71,AOR,"-(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),467,16790,str.length() * pfxLen
72,AOR,"-(int,int)","+(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),467,16790,str.length() + pfxLen
73,AOR,"-(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),467,16790,str.length() / pfxLen
74,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16841,0
75,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16841,-16
76,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16829,hexDigits != 16
77,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16829,hexDigits >= 16
78,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),468,16839,false
79,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16956,0
80,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16956,-8
81,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16944,hexDigits != 8
82,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16944,hexDigits >= 8
83,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),471,16954,false
84,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17143,0
85,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17143,-1
86,AOR,"-(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17128,str.length() % 1
87,AOR,"-(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17128,str.length() * 1
88,AOR,"-(int,int)","+(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17128,str.length() + 1
89,AOR,"-(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),476,17128,str.length() / 1
90,AOR,"+(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') % str.indexOf('E')
91,AOR,"+(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') * str.indexOf('E')
92,AOR,"+(int,int)","-(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') - str.indexOf('E')
93,AOR,"+(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') / str.indexOf('E')
94,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17318,0
95,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17318,-1
96,AOR,"+(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,(str.indexOf('e') + str.indexOf('E')) % 1
97,AOR,"+(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,(str.indexOf('e') + str.indexOf('E')) * 1
98,AOR,"+(int,int)","-(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,str.indexOf('e') + str.indexOf('E') - 1
99,AOR,"+(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),481,17280,(str.indexOf('e') + str.indexOf('E')) / 1
100,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),485,17581,1
101,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),485,17581,-1
102,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17644,0
103,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17644,1
104,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17635,decPos != -1
105,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17635,decPos >= -1
106,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),486,17642,false
107,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17704,0
108,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17704,1
109,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17695,expPos != -1
110,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17695,expPos >= -1
111,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),488,17702,false
112,ROR,"<(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17754,expPos != decPos
113,ROR,"<(int,int)","<=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17754,expPos <= decPos
114,ROR,"<(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17761,false
115,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17773,expPos != str.length()
116,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17773,expPos >= str.length()
117,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17780,false
118,COR,"||(boolean,boolean)","!=(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17754,expPos < decPos != expPos > str.length()
119,COR,"||(boolean,boolean)","LHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17754,expPos < decPos
120,COR,"||(boolean,boolean)","RHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17773,expPos > str.length()
121,COR,"||(boolean,boolean)","TRUE(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),489,17770,true
122,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),492,17989,0
123,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),492,17989,-1
124,AOR,"+(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),492,17980,decPos % 1
125,AOR,"+(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),492,17980,decPos * 1
126,AOR,"+(int,int)","-(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),492,17980,decPos - 1
127,AOR,"+(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),492,17980,decPos / 1
128,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),494,18067,0
129,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),494,18067,-1
130,AOR,"+(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),494,18058,decPos % 1
131,AOR,"+(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),494,18058,decPos * 1
132,AOR,"+(int,int)","-(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),494,18058,decPos - 1
133,AOR,"+(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),494,18058,decPos / 1
134,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),496,18118,1
135,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),496,18118,-1
136,STD,<ASSIGN>,<NO-OP>,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),497,18142,<NO-OP>
137,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),499,18313,0
138,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),499,18313,1
139,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),499,18304,expPos != -1
140,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),499,18304,expPos >= -1
141,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),499,18311,false
142,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),500,18339,expPos != str.length()
143,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),500,18339,expPos >= str.length()
144,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),500,18346,false
145,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),503,18547,1
146,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),503,18547,-1
147,ROR,"!=(int,int)","<(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),509,18700,lastChar < '.'
148,ROR,"!=(int,int)",">(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),509,18700,lastChar > '.'
149,ROR,"!=(int,int)","TRUE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),509,18709,true
150,COR,"&&(boolean,boolean)","==(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),509,18668,!Character.isDigit(lastChar) == (lastChar != '.')
151,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),509,18697,false
152,COR,"&&(boolean,boolean)","LHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),509,18668,!Character.isDigit(lastChar)
153,COR,"&&(boolean,boolean)","RHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),509,18700,lastChar != '.'
154,LVR,NEG,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18744,0
155,LVR,NEG,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18744,1
156,ROR,">(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18735,expPos != -1
157,ROR,">(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18735,expPos >= -1
158,ROR,">(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18742,false
159,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18774,0
160,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18774,-1
161,AOR,"-(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18759,str.length() % 1
162,AOR,"-(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18759,str.length() * 1
163,AOR,"-(int,int)","+(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18759,str.length() + 1
164,AOR,"-(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18759,str.length() / 1
165,ROR,"<(int,int)","!=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18750,expPos != str.length() - 1
166,ROR,"<(int,int)","<=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18750,expPos <= str.length() - 1
167,ROR,"<(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18757,false
168,COR,"&&(boolean,boolean)","==(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18735,expPos > -1 == expPos < str.length() - 1
169,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18747,false
170,COR,"&&(boolean,boolean)","LHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18735,expPos > -1
171,COR,"&&(boolean,boolean)","RHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),510,18750,expPos < str.length() - 1
172,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18824,0
173,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18824,-1
174,AOR,"+(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18815,expPos % 1
175,AOR,"+(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18815,expPos * 1
176,AOR,"+(int,int)","-(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18815,expPos - 1
177,AOR,"+(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18815,expPos / 1
178,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18842,0
179,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18842,-1
180,AOR,"-(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18827,str.length() % 1
181,AOR,"-(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18827,str.length() * 1
182,AOR,"-(int,int)","+(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18827,str.length() + 1
183,AOR,"-(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),511,18827,str.length() / 1
184,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),516,19001,1
185,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),516,19001,-1
186,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),516,19019,0
187,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),516,19019,-1
188,AOR,"-(int,int)","%(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),516,19004,str.length() % 1
189,AOR,"-(int,int)","*(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),516,19004,str.length() * 1
190,AOR,"-(int,int)","+(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),516,19004,str.length() + 1
191,AOR,"-(int,int)","/(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),516,19004,str.length() / 1
192,COR,"&&(boolean,boolean)","==(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),517,19060,isAllZeros(mant) == isAllZeros(exp)
193,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),517,19077,false
194,COR,"&&(boolean,boolean)","LHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),517,19060,isAllZeros(mant)
195,COR,"&&(boolean,boolean)","RHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),517,19080,isAllZeros(exp)
196,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),521,19211,false
197,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),522,19250,false
198,COR,"&&(boolean,boolean)","==(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),521,19207,dec == null == (exp == null)
199,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),522,19243,false
200,COR,"&&(boolean,boolean)","LHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),521,19207,dec == null
201,COR,"&&(boolean,boolean)","RHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),522,19246,exp == null
202,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19301,1
203,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19301,-1
204,ROR,"==(int,int)","<=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19286,numeric.charAt(0) <= '-'
205,ROR,"==(int,int)",">=(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19286,numeric.charAt(0) >= '-'
206,ROR,"==(int,int)","FALSE(int,int)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19304,false
207,LVR,POS,0,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19341,0
208,LVR,POS,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19341,-1
209,COR,"&&(boolean,boolean)","==(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19286,numeric.charAt(0) == '-' == isDigits(numeric.substring(1))
210,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19311,false
211,COR,"&&(boolean,boolean)","LHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19286,numeric.charAt(0) == '-'
212,COR,"&&(boolean,boolean)","RHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19314,isDigits(numeric.substring(1))
213,COR,"||(boolean,boolean)","!=(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19286,(numeric.charAt(0) == '-' && isDigits(numeric.substring(1))) != isDigits(numeric)
214,COR,"||(boolean,boolean)","LHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19286,numeric.charAt(0) == '-' && isDigits(numeric.substring(1))
215,COR,"||(boolean,boolean)","RHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19348,isDigits(numeric)
216,COR,"||(boolean,boolean)","TRUE(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19345,true
217,COR,"&&(boolean,boolean)","==(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),521,19207,(dec == null && exp == null) == (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))
218,COR,"&&(boolean,boolean)","FALSE(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19282,false
219,COR,"&&(boolean,boolean)","LHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),521,19207,dec == null && exp == null
220,COR,"&&(boolean,boolean)","RHS(boolean,boolean)",org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),523,19285,(numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))
221,LVR,0,POS,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),537,19997,1.0F
222,LVR,0,NEG,org.apache.commons.lang3.math.NumberUtils@createNumber(java.lang.String),537,19997,-1.0F
